GeneName,Int_Pv,Int_Vip,Int_Sst_1,Int_Sst_2,Int_Npy,Int_Cck,logFC>1
Scg2,,a,,c,,,Both
Crh,,c,a,,,,Both
Nrd1,,,a,c,,,Both
Plp1,,,a,,c,d,Both
Egr1,a,a,a,a,,,ERG
Fos,a,a,a,a,a,,ERG
Htatsf1,a,,,,,,ERG
Ube2g1,a,,,,,,ERG
Fosl2,,a,,a,,,ERG
Nr4a1,,a,a,a,,,ERG
Nr4a2,,a,,a,a,,ERG
Nr4a3,,a,,a,,,ERG
Gpd1,,a,,,,,ERG
Gtf3c1,,a,,,,,ERG
Kras,,a,,,,,ERG
Socs2,,a,,,,,ERG
Cenpb,,,a,,,,ERG
Gm28578,,,a,,,,ERG
Prrc2a,,,a,,,,ERG
Arc,,,,a,,,ERG
Dusp1,,,,a,,,ERG
Egr4,,,,a,,,ERG
Fosb,,,,a,,,ERG
Gadd45g,,,,a,,,ERG
Ifrd1,,,,a,,,ERG
Junb,,,,a,,,ERG
Midn,,,,a,,,ERG
Per1,,,,a,,,ERG
Spry2,,,,a,,,ERG
Tiparp,,,,a,,,ERG
Cdkn1a,,,,a,,,ERG
1190002N15Rik,,,,a,,,ERG
Acsl4,,,,a,,,ERG
Ccnt1,,,,a,,,ERG
Cpne8,,,,a,,,ERG
Fam150b,,,,a,,,ERG
Fam46a,,,,a,,,ERG
Glul,,,,a,,,ERG
Gpt2,,,,a,,,ERG
Kctd12,,,,a,,,ERG
Noct,,,,a,,,ERG
Ntrk3,,,,a,,,ERG
Paqr8,,,,a,,,ERG
Pcnp,,,,a,,,ERG
Prickle2,,,,a,,,ERG
Tcof1,,,,a,,,ERG
Wbp5,,,,a,,,ERG
Alcam,,,,,a,,ERG
Cpeb1,,,,,a,,ERG
Syt4,,,,,a,,ERG
Timp2,,,,,a,,ERG
Ubfd1,,,,,a,,ERG
Ctsb,,,,,,a,ERG
Elavl4,,,,,,a,ERG
Snx19,,,,,,a,ERG
Usp1,,,,,,a,ERG
Eno1,c,,,,,,LRG
H2-Q4,c,,,,,,LRG
Vgf,,c,,c,,,LRG
Igf1,,c,,,,,LRG
Igfbp5,,c,,,,,LRG
Pam,,c,,,,,LRG
Serpine2,,c,,,,,LRG
Syn2,,c,,,,,LRG
Mbp,,,c,,c,,LRG
Isy1,,,c,,,,LRG
Homer1,,,,c,,,LRG
Nefm,,,,c,,,LRG
Etv5,,,,c,,,LRG
Gfod1,,,,c,,,LRG
Sox2,,,,c,,,LRG
Hspa5,,,,c,,,LRG
Arih1,,,,c,,,LRG
Baiap2,,,,c,,,LRG
Bex1,,,,c,,,LRG
Cenpa,,,,c,,,LRG
Crhbp,,,,c,,,LRG
Eef1e1,,,,c,,,LRG
Elovl4,,,,c,,,LRG
Gabra4,,,,c,,,LRG
Gabrb1,,,,c,,,LRG
Gars,,,,c,,,LRG
Gphn,,,,c,,,LRG
Hcn1,,,,c,,,LRG
Hunk,,,,c,,,LRG
Itgav,,,,c,,,LRG
Mdm2,,,,c,,,LRG
Npy,,,,c,,,LRG
Osbpl3,,,,c,,,LRG
Pcdh17,,,,c,,,LRG
Rusc1,,,,c,,,LRG
Sccpdh,,,,c,,,LRG
Cxcl14,,,,,c,,LRG
Pou3f3,,,,,c,,LRG
Chp1,,,,,,c,LRG
Lgi1,,,,,,c,LRG
Llph,,,,,,c,LRG
Ngef,,,,,,c,LRG
Plppr4,,,,,,c,LRG
Sept6,,,,,,c,LRG